Category,Code,Subcode,Subsubcode,Description,Example Quote,Notes
workInfo,jobTypeOrRole,,,What do they do in their company on a day to day basis?,"I work on a team that manages our public assets. So, our public-facing website. We have a team of editors and analysts that write content. So we just make sure they have the tools they need to publish all of that.",Inital Code
workInfo,industry,,,"What industry or economic sector do they work in (or have worked in)? e.g., finance, big tech, medical, government contracts, etc","I primarily went into investment banking first. So I've been doing that, and then later on, became venture capital",Inital Code
workInfo,companySize,,,How big the company is ,"We are 500 and some plus",Inital Code
workInfo,culture,,,"What are the non job-specific aspects of their work place like? e.g., how do they get along with their co-workers","I mentioned that we meet a few times a year and when we meet we have “team bonding” exercises and activities like that. Our company treats us pretty well and we do a lot of fun things together as a company and as our own separate teams when we do have those chances to meet together. We have very good relationships. Or, at least I do with my team and the rest of my coworkers.",Inital Code
workInfo,wfh,,,Is it remote or hybrid or in person?,"I guess hybrid, predominantly remote. But occasionally I'll go see somebody onsite or in an office.",Inital Code
workInfo,,inPerson,,the person is working in office,"It's almost all in person. So yeah, we went back to in-person in June 2020 basically because it's awfully hard to do [redacted] stuff remotely",Pass 2
workInfo,,remote,,the person is working remotely,"This role is a little bit different because it is fully remote. So like I haven't developed those close friendships with people.",Pass 2
workInfo,,hybrid,,The person is working hybrid,"It's a three days a week on Tuesday, Wednesday, and Thursday. Optionally, you can come and more.",Pass 2
workInfo,experience,,,How long have they been working in software? Both professional and scholastic,"I've been working for six years. Stuff with specifically a focus on software would probably be, I guess, three.",
define,define,,,"Their definition of a mind-altering/psychoactive substance","I would classify psychoactive as anything that's crossing blood-brain barrier. So caffeine is psychoactive, and alcohol is psychoactive.",Inital Code
drugTypes,prescriptionStimulants,,,"Quote includes or is about prescription stimulants: (Adderall, Ritalin, Vyvanse, Modafanil","That's why I was so impressed by his story about Adderall because he told me that he has ADHD. So that's why he can access to Adderall before. And when he tried it, he understood that he can work for eight hours without being tired. And yeah, I was amazed and I decided to try it as well. I talked to my psychiatrist, and yeah, I got a prescription for Adderall.",Inital Code
drugTypes,recStimulants,,,"Quote includes or is about recreational stimulants: (cocaine, meth, etc)","Granted coke's a little bit more addictive in that case, but it's chasing that feeling of cocaine. But to a certain degree, in certain things of how much are people trying to take a step back and realizing, or at least for, you know, dopaminergic agents of I'm doing this so I can work more, so I can have more output, so I can level up more. ",Inital Code
drugTypes,caffeine,,,"Quote includes or is about caffine: (coffee, tea, energy drinks)","So I would say for caffeine, I think it helps most people to wake up in the morning if they do drink coffee. I would drink coffee in the morning.",
drugTypes,cannabis,,,"Quote includes or is about cannabis: (marijuana, cbd, weed)","So, many years ago when I was in a desk job or the hybrid one where I was sometimes remote, sometimes at a desk job. The marijuana use specifically was more limited because I couldn't smoke at work right. I had to either hide it smoking in the car on the walk over to the office or whatever it was. And sometimes I just didn't do it at all just to avoid smelling like it and being found out. It's definitely more accepted these days than it was, you know, eight or nine years ago. But back then, you didn't want to walk in the office smelling like pot.",Inital Code
drugTypes,alcohol,,,"Quote includes or is about alcohol: (beer, wine)","One beer with your coworker, kind of collaborating at a restaurant or something, it tends to go well. You just...I don't know, that little buzz, that kind of little bit of happiness, just makes me work well. But then it's very easy to overdo it and just not care about the quality of the work.",Inital Code
drugTypes,tobacco,,,Quote includes or is about tobacco,"Tobacco products - I'm using vapes. How it affects me. Well, if I don't use vape, I'm always a bit nervous as well.",
drugTypes,benzos,,,Quote includes or is about benzodiazepines,"Benzodiazepines make you less anxious. So in a more social setting, they would be helpful if you are group programming. If you're giving some sort of presentation about your code, I would use it in those sorts of situations because it takes away a lot of that social anxiety, a lot of that anxiety in general. And I don't know if you've ever – you've probably heard of people taking those sorts of substances for public speaking. It kinda works the same way. Big meetings, you're explaining code, you're doing that sort of thing. It kinda helps with those things, but not so much when it comes down to programming and doing analysis and debugging and all those sorts of things.",
drugTypes,SSRIs,,,"Any reuptake inhibitor, commonly antidepressants or antianxiety medications. Examples: Zoloft, Prozac, Lexapro, Wellbutrin, etc. Prevents preemptive reuptake of neurotransmitters like serotonin or dopamine by keeping nerve channels open","So yeah, I mean, so the SSRIs, I just use 24/7. But in general, it definitely does help me be able to work. So I mean, I have pretty bad anxiety and depression and it definitely gets my brain to a point where I can engage with work and where I feel less anxiety. Yeah, I think that's true of SSRIs and also Wellbutrin. And I was hoping that the stimulants would help with focus because focus has always been really difficult for me. It ended up being the case that Wellbutrin was better than those.",
drugTypes,psychedelics,,,Quote includes or is about psychedelics,"I was curious once, but I did not do productive work on acid. But I was curious of what it would be opening? Yeah, I was very high and I thought it would be very interesting to see what all the colors, everything underlined, are different.",Inital Code
drugTypes,,microdosing,,Quote includes or is about opioids,"So microdosing acid is kinda like the opposite of Adderall. So if you have like a complicated system and you kind of, or like a difficult problem, like an actually difficult problem, it's very helpful to allow you to see it from a different perspective. I don't often microdose acid because most problems that you encounter in your job are not that difficult. In terms of just pure difficulty, it's more like you just have to think about it, or reason about it. So yeah, I don't usually use acid and in this context, but very occasionally, yes, microdosing if you're in like a big pickle or whatever, and you're just trying to figure stuff out, it can help.",Inital Code
drugTypes,opiates,,,"Quote includes or is about psychedelics, specifically in the context of micodosing","And there are certain things that I would say completely are... of substances in certain camps that you could view, 'hey this helpful?' into like it this substance definitionally harmful to the person like 'yes, something like heroin. Sure.' And but yeah, I don't know anyone that's shooting up heroin to write code.",
drugTypes,nootropics,,,"drugs, supplements, and other substances that are claimed to improve cognitive function, particularly executive functions, attention, memory, creativity, or motivation, in healthy individuals","Also, I have Russian nootropics for concentration and creativity.",
drugTypes,antianxiety,,,Beta-blockers or other meds used for anti-anxiety means that aren't SSRIs,"For beta-blocker I – I forgot the medicine. Yeah. I forgot, but it was a low dose for beta-blocker. Very low dose. Minimum dose I had to take.",
drugTypes,other,,,Anything used by only one person or not relevant enough to put in the code book,"This might be on the border of psychoactive, but stuff that makes me drowsy like any like allergy meds. I wouldn't take Benadryl if I need it if I know, I need to focus better.",
drugTypes,all,,,"when talking about all psychoactive substances in general, not just the ones they use - common during hypotheticals or when talking about coworkers","I think it's very taboo. And I think a lot of people are ashamed, scared to talk about it because they could be fired from their job if their employer doesn't allow it or isn't happy about it. So I would love for it to be a more open dialogue for people to discuss both the positive and the benefits of some of these substances.",
interesting,goodQuote,,,A quote considered subjectively by the coders to be valuable for making a point in the paper or succinct in a reoccuring theme,"And then there's been other times where not just myself, but actually a group of software engineers that I work with will take hallucinogens and then talk through problems and interesting concepts in programming, which has been really quite cool. It's something that I'd like to see if we can somehow pursue into the future. You know, obviously there's some legal problems around that at this point in time, but I'm hoping as things progress it could be something that's actually more commonly done on like a team level.",Inital Code
interesting,offTopicButCool,,,"Not related to psychoactive substance use in software, but deemed subjectively interesting","The Mythical Man-Month, it's basically just about project management, especially as it pertains to software design industry. And these mistakes that people make over and over and over again. I mean, you know how it is in software development. We, as a profession, we are people who are just, it's just too optimistic with regards to how long things are going to take, with how much things are going to cost, with how much effort things are going to take. And it plagues even those of us who are quite experienced, unfortunately. And I would say that's a big problem with what my boss did at his company was he just kept thinking that it was going to be easy. And it was never, it was like by orders of magnitude, it was more difficult...",Inital Code
interesting,onTopicAndCool,,,Brings up new perspectives about a topic related to psychoactive substance use in software,"There's also people who talk about ADHD. And typically people who talk about ADHD a lot probably take Adderall. I know for a fact that there's just a lot of people who talk... who don't talk about it, who take it. Like if you just look at number of prescriptions for Adderall, especially in like, you know, Silicon Valley Bay Area. Like it's just like so many people that, just statistically speaking, like a lot of people at your workplace probably do. [...Redacted...]. Not to like gatekeep or anything but I know people like that who do have a diagnosis, but it's not like a full-scale diagnosis.",Inital Code
drugUsage,recreational,,,substance used recreationally,"I think it's probably overall, potentially negative? I guess it just depends. Like people who aren't prescribed. I think that's where the negativity comes. If you're not prescribed. People look at that a lot more negatively than if you are prescribed. Like if you're just like taking it from, like buying it illegally, or however you would source it, then you'll wind up with that as negative.",Pass 2
drugUsage,prescribed,,,substance used via prescription,"It's for ADHD and take it as prescribed as my doctor recommended – take it during work [laugh]",Pass 2
drugUsage,motivations,,,why they use a substance,"Definitely for enjoyment to a degree, but also to get into my zone. Deep work itself is a high, and it's not a requirement. It's not like I need it. But for me, I love my job as it is. And I like being high and working in deep work, is actually something I thoroughly enjoy",Pass 2
drugUsage,amount,,,Regularity and amount of substances used,"But for the Adderall, I'm taking 10 milligrams daily and I'm on the extended release.",Pass 2
drugUsage,remoteWork,,,Whether or not remote work has impacted substance use,"But ever since the COVID lockdowns, that cycle of drinking or smoking a lot and then maybe procrastinating and then working a lot in the evening and then during the day, you're at home and nobody else is there. So you kind of feel like, “Oh, it's okay if I just browse the Internet for 30 minutes or whatever, I still have all day.” And then like, it really – kinda because of the lock downs or remote work – it really spiraled out of control for me to the point where I talked to the psychiatrist and said like, 'I've always kind of had this issue, but now it's actually gotten to a point where I really feel it's like a huge impediment to my work.'",Pass 2
drugUsage,moderation,,,When talking about using a substance(s) in moderation,"Not on the clock substance use. Off the clock I do occasionally smoke or vape marijuana or cannabis recreationally. For a while I was getting into some bad habits there and then I stopped, evaluated, realized that this was not healthy and it was going down the wrong path, and so I was able to moderate a bit better.",Pass 2
drugUsage,addiction,,,If they are talking about addiction or dependancy to a substance,"I have one friend who is essentially dealing with a nicotine addiction that he developed over the pandemic, and he has the nicotine gum that he takes occasionally to help in regards to that.",Pass 2
drugUsage,prescribedVsRecreational,,,"If they are directly comparing a substance when used prescribed vs when used recreationally (typically used with stimulants), either their own experiences or how others react","I revealed it to one colleague... not at the previous job, but that like was a dealer for that company. And they're all just like, 'Oh, what?' I mean, they had made jokes about me being on drugs before which were incorrect and rude, and like not sensible. Whatever, it was just nonsense. And I mentioned something like, 'well I actually do have a script for Adderall.' And they were just kind of like, '...oh'",Pass 2
drugUsage,alcoholAcceptance,,,When mentioning how alcohol use is normalized or treated differently than other substances,"I mean, alcohol is fine. We've had company get-togethers and things like that where people are drinking together and things like that. So I think that that is accepted and open...",Pass 2
drugUsage,caffeineSeriously,,,"When treating caffine like a serious substance to use - e.g., talking about side-effects or moteration","Caffeine for some people can be very psychoactive. For me personally, it's not because it just doesn't do anything for me. So I can just drink as much as I want and like, it can make you a little bit jittery, but like in the general context, it would be a weak psychoactive substance.",Pass 2
drugUsage,multiSubstanceInteraction,,,Usage of one substance conflicts or affects another in a software context,"So these days primarily I'm taking Adderall, which is good. And then I kind of did a lot of cocaine and I pretty much cut that cold turkey when I got on Adderall, and that was pretty good. So yeah, definitely adderall is the regular, and smoking weed is definitely a regular.",Pass 2
drugUsage,,stimulantsCannabis,,"When talking about how stimulants and cannabis interacted, often involves waning on cannabis when prescribed adderall","After I got the prescription I started on Adderall, my cannabis consumption has gone way down. It's gone from an everyday thing for me to maybe once a week, maybe twice if I'm seeing friends, but much more rare. I'm not smoking all the time when I'm off the clock like I was before.",Pass 2
drugUsage,selfRegulation,,,When particpants regulate their drug usage based on the task they are doing,"Oh, absolutely. When I'm in meetings or have to collaborate in any way, I'm always sober for those.",
drugUsage,sideEffects,,,Side effects from substances (not ADHD prescription meds),"Recreational. That cannot be prescribed because that’s nootropics. So it's actually something that I think Russians invented and they gave it to the astronauts when they were in the space. Not to get depressed or something – even though it makes you depressed after 24 hours, it makes you kind of depressed. But maybe I was over using it. I'm not sure.",
mentalHealth,negFromWork,,,Mental health being impacted negatively from parts of work,"So rent in [redacted] is quite expensive. And so the apartment that I live in is only about 600 square feet, at most. And working 40 hours a week from a 600 square foot one bedroom apartment is really bad for my mental health, it impacts me pretty negatively. I find it hard to be motivated, I find it hard to focus, and it makes it makes it harder for me to enjoy... it affects my work-life balance and I have more trouble doing non-work activities as well, because the environment thickens to get associated with work in addition to leisure activities. Yeah. And because it's so small, and I only have one desk for me to both work and do my hobbies, so the ability for me to go into the office is really helpful for me to keep a work-life balance.",Inital Code
mentalHealth,posFromWork,,,Mental health being impacted positively from parts of work,"This is complicated. I would say an improvement in my depression. So I started taking it while I was still in school, so like my last year. And I feel like – okay, it's weird because in a lot of ways, starting work helped with my mental health. [pause] Okay, sorry, I'm figuring out how to exactly explain this.",Pass 2
mentalHealth,workStressBad,,,"When they say work causes 'undue' stress","I think it does if I think too hard about it. If I take work more seriously, then I find that it tends to stress me out.",
mentalHealth,workStressGood,,,"When they say work is stressful, but 'it is a good kind of stress' or they like the stress","I’d say it's a good stress. There's a lot of people who are really good at what they do. And so you're always seeing kind people post or release all this amazing stuff. So from that point of view, there's this feeling of like, “Oh, I need to also be making like, launching features or doing something that people are impressed by.” So I'd say the stress is more self-driven than it is from the top-down or anything like that.",
mentalHealth,workStressExpected,,,"It is stressfull, but as expected","It can be fairly stressful. I don't know if I would say undue because I understood what I'm signing up for. That there's companies that their entire business relies on. The work that we do, so we have to make sure that it's always up and running and has some high service level availability, that kinda stuff. So yes, there's certainly amount of stress that comes with it and also, you know, a fair amount of stress that just comes with coding in general, like I had mentioned before, there's just that large mental load that comes with it.",
mentalHealth,substanceUseForMentalHealth,,,Generally if/how substances are used to alleviate symptoms at work -- will be one of the sub-tags below:,,Inital Code
mentalHealth,,reduceStress,,If used to reduce stress,"I mean, not going into deep work zone, but cannabis, psychoactive substances. Yeah, that definitely helps with the stress of it.",Pass 2
mentalHealth,,reduceAnxiety,,If used to reduce anxiety,"I still have pretty bad anxiety, which is why I smoke so much.",
mentalHealth,,reduceDepression,,If used to reduce depression,"And I believe that the only one that we probably need to talk about is marijuana, and I still believe that at my age, it's related to my depressions. So I'm smoking because of some unrealized problems that I have. Yeah, I believe that marijuana affects me this way.",
mentalHealth,,increaseFocus,,If used to increase focus,"Just because of how it affected my life. Like not being able to study properly, not being able to focus, missing deadlines, stuff like that. And that would cause a lot of stress and anxiety and depression. Yeah. Yeah, I don’t know if that made sense.",Pass 2
mentalHealth,,increaseWakefulness,,If used to increase wakefulness,"Caffeine? Like I said, it just helps me to wake up. Nothing more.",
mentalHealth,accommodations,,,Generally if someone is talking about accomodations: will likely be one of the sub-tags below:,,Inital Code
mentalHealth,,haveReceived,,When they are talking about accomidations that they have received,"Yes, more because of the PTSD. I forget things a lot, but also turns out that was the ADHD too. So just a lot of written communication and the ability to write things down was one of the things. They did say there were other options if I needed them, but when I started I was like, 'No, I don't really need them.",Pass 2
mentalHealth,,available,,Accomidations that are available but they have not used,"they have things like employee assistance programs that you can have things like, I think it's three or four free therapist visits that are covered under that phone, like telehealth services, that kind of stuff. Now, as far as mental health days, so to speak, I don't think they have anything that's specifically under that umbrella, but you could take a sick day if you need to, if you're not feeling up to par. There are certainly very reasonable around that type of stuff",
mentalHealth,,considering,,When they are talking about thinking about getting accomodations,"No, but that's because I haven't requested any. I think again, that's where remote work is very helpful because I think a lot of the things that my ADHD affects my working style. Where maybe I would have to explain myself if I was working in an office, I don't really have to do with remote work. So yeah, I think that's prevented the need for it. I actually was considering if I might have to look into accommodations just because my manager was requesting I go back to the office, but I don't think it'll be necessary for me. Like basically, I just gave my reasons for I just think it's better for me to be remote and I think he said it's fine and he'll talk to HR but like, if it does end up being a thing where I have to go back into the office, I am planning on looking into accommodations.",Pass 2
mentalHealth,,desires,,When talking about accomodations they would like in general,"So for example, when you do physical medical exam like every one year, six months, I would also recommend people with high stress software tasks or work, having longer work hours, to check them up every three months. It’s just a personal opinion, maybe three months or six months, whatever",Pass 2
mentalHealth,,process,,When talking about the process of getting accomidations,"So it kind of did, because – well, maybe not directly remote work but like, COVID things. Yeah. I mean, we did go remote for a couple months, March to June or so. And I think during that time, I learned a lot more about how I do and don't have an ability to focus. So when we went back to in-person, I realized I had a better handle of what kind of distractions were affecting me. So actually during that time, I went through the whole disability accommodation process and now I have my own private office in the building.",Pass 2
mentalHealth,,reception,,When talking about the reception by others for the accomidations they received,"So I think everybody is supportive. They're just sort of rigid and they're like, “We have to follow this process.” And then within my group, it has been a little bit mildly awkward trying to explain [my accomidation] to neurotypical people like why this makes sense. But nobody has argued about it or been weird about it.",Pass 2
mentalHealth,stigma,,,When talking about observing stigma about mental health in software environments,"Not very openly. Like I have never that I can recall experienced, like in a group setting or a meeting, someone bringing it up. In person, just on one-on-one conversations or when there's a small group of coworkers, sometimes we'll bring it up like talk about feeling a little bit burnt out. But still I do feel like there's some sort of stigma around it as well. Like it's not something that people are openly discussing. Like it's kind of in hushed.",
mentalHealth,support,,,When devlopers talk about recieving support from coworkers and managers for mental health,"I was just going to say my boss, you know, never really talked about mental health, but he was always very generous and compassionate with regards to giving employees, you know, employees a break from stress or, you know, he never put pressure on us, never.",
mentalHealth,noSupport,,,When devlopers talk about recieving little to no support from coworkers and managers for mental health,"there is no mental health... no [inaudible]. No like, 'Hey, how are you doing?' Like they were personable but it was more shooting the shit about the ballgame.",
mentalHealth,culture,,,How coworkers or software culture acts/thinks about mental health,"There's an awareness, even at a smaller scale, of the mental health resources that [Redacted] tries to provide for its employees, which I think is really good/different",Inital Code
mentalHealth,relianceOnSubstance,,,How much they rely on substances to work (mention if prescribed),"Like if you asked me to just go completely sober, no caffeine, no Adderall, nothing, I'm certainly going to have a come down and some sort of hangover and withdrawal effect from years of caffeine use and now months of Adderall usage. Just cutting that cold turkey. It's not going to be painful per se, but I'm certainly not going to get anything close to what I'm used to done because it's just very hard for me to focus. And as I said, the executive dysfunction issues.",Inital Code
mentalHealth,physicalHealth,,,How physical health is impacted at work or use of mind-altering substances to help with physical health during work,"I do get a little bit of wrist pain, at least I did for the first few months, but then one I got a pair of compression gloves, and I also got a padded a wrist rest for my keyboard. That helped improve the kind of angle at which my hands were using the keyboard.",Inital Code
mentalHealth,improvements,,,How the company could improve how they talk about mental health/substance use and or things they could do to reduce stress,"I mean, really simple things, right? Like you could give more vacation, like you, or you can have a more days off. Americans just don't get enough time off, and that's really bad. They could give you like, you know, more resources and not create so many roadblocks. I think fundamentally, it comes down to like if someone is like very stressed, I think that bad mental health is just going to be downstream of that. You can't say that someone has depression if five of their family members just died, like that's a natural response. They don't have the condition to be treated. Their symptoms might be worse and they might benefit from SSRIs, but I wouldn't say that they have depression, I think that they're a normal human being",Inital Code
mentalHealth,diagnosis ,,,When saying a specific diagnosis,"Like a lab member of mine has just been diagnosed for anxiety, and she had to also get it from like off network?",
mentalHealth,diagnosisProcess,,,When talking about how a mental health diagnosis process impacted software work - this does not include ADHD (see below),"I started taking it during school. I was both working as a [TA] in a class at [redacted]. as well as taking graduate courses to complete my masters. And I was also involved in leadership of a bunch of different clubs, and all of that in combination with some other stuff that was going on in my life, was creating a very anxiety-inducing environment for me. In addition to what one psychiatrist described to me as just underlying neurochemistry where I'm just naturally more anxious. I was diagnosed with generalized anxiety disorder that was being exacerbated by my environment. And so in the beginning of 2021, January, I was prescribed, Serotonin agents like Zoloft.",Pass 2
mentalHealth,symptomsAtWork,,,When sought diagnosis due to (in part) noticing symptoms at work - this does not include ADHD (see below),"So yeah, I mean, so the SSRIs, I just use 24/7. But in general, it definitely does help me be able to work. So I mean, I have pretty bad anxiety and depression and it definitely gets my brain to a point where I can engage with work and where I feel less anxiety. Yeah, I think that's true of SSRIs and also Wellbutrin.",Pass 2
mentalHealth,,diagnosis,,Sought diagnosis because of their noticing symptoms at work,"I think it helped me a lot because I could not focus for – initially I was went through a major event that time. I had a hard time for focusing on the office for a month. So I took, mostly took like 20 days leave out of one month, something like that. So that's like you have like 22 work days days a month later. So if you take 22 days, it’s almost a whole month’s leave. So after that I consulted a psychiatrist and neurologist, they prefer offer me this medicine and after I started taking this medicine I could gradually shift to my daily to-do work.",
mentalHealth,medicationSwitching,,,When talking about how a medication switching impacted software work,"I would say. Well, when I went down from 50 to 25, there were a couple of days there were I just could not get up. This was before I was on the Adderall, so I was literally just tapering off without any other help. All I could do is just lay down on the couch, didn't really get any work done.",Pass 2
mentalHealth,performativity,,,When mental health talk from a company or co-worker feels performative,"And so I think that's the issue these days, because everybody has mental health problems kind of tells you that it's because they have shitty jobs and shitty lives and they're not really getting time off or good health care and all of this other stuff. So yeah, doing a webinar and like, you know, virtue signaling about how they want to celebrate and mental health awareness month is really stupid in my opinion.",Pass 2
mentalHealth,reasonForLeaving,,,When mental health or the lack of mental health resources contributes to someone leaving a software job,"After I graduated from undergrad, I worked for one year and three months at a start-up in [Redacted]. I left because of depression, and I've sort of been dealing with recurrent mental health issues over since then.",Pass 2
ADHD,diagnosisProcess,,,When talking about how a mental health diagnosis process impacted software work,"So I saw psychiatrist for that. He said no it's just a major depressive disorder. And I was like, okay, so he put me on Wellbutrin. That helped me really get into coding. I remember I started it like the last week of my coding bootcamp. And that one is also... helps with ADHD. So it helps with focusing. You can take it for ADHD, you can also take it for depression. So I took a Wellbutrin and Lexapro combo, was able to finish my final project for my coding bootcamp. The week before I was like sleeping all week, started taking it that week. My project was due Saturday. I decided Friday to change my project idea like the day before it was due. So I coded my whole app in under 24 hours. Little did I know that that was actually mania induced from the Wellbutrin",Pass 2
ADHD,wfh,,,How work from home interacts with ADHD,"So it kind of did, because – well, maybe not directly remote work but like, COVID things. Yeah. I mean, we did go remote for a couple months, March to June or so. And I think during that time, I learned a lot more about how I do and don't have an ability to focus. So when we went back to in-person, I realized I had a better handle of what kind of distractions were affecting me. So actually during that time, I went through the whole disability accommodation process and now I have my own private office in the building.",Pass 2
ADHD,sideEffects,,,Side effects of ADHD medications: Interesting to see the love/hate relationship some people have toward prescription stimulants.,"Well, yes. With Ritalin and Adderall. I used these only two or three times, and it would always be the same. I took the lowest dose possible. My jaws would clench. I would get excessively anxious and that angst in my chest, as though something wrong was going to happen. And then, I just well, I cannot do it today. I had to do not work this day.",Pass 2
ADHD,agile,,,Impacts on agile or scrum or flexible work structures for those who have ADHD,"And it works out well because we got some people who are absolutely morning owls and we've got people in other time zones. So there's always someone around the clock who's able to respond with this problem. So like I said, I don't enjoy the evening interruptions, but occasionally if some high priority thing comes up in the evening, my teammates know that I've usually got it, unless it gets too late and then it goes to one of our teams overseas. And then in the mornings, I know that if my phone rings, or a buzz at 10 AM or at 9AM or something, I'm fully awake and present and 100 percent ready to go. I just have to make sure that one of the teammates has seen it and he'll take it from there",Pass 2
ADHD,feelingsOnStimUsage,,,"People with ADHD commenting on others' usage of ADHD meds or others using it for enhancement, etc. For example, people mentioning that it 'doesn't give you superpowers","I suppose they could change if people understood that you are taking Adderall to help you focus. A) it's not cheating. I don't view anything, there's not like, this sort of concept is you're getting an unfair advantage I suppose some people have – I think it's dumb. So if they didn't have that perception, I suppose that would be an improvement. And noting that it's like somehow dangerous, like taking recreational methamphetamines because that would also be good if they didn't have that perception either.",Pass 2
ADHD,symptomsAtWork,,,Impacts of ADHD on work,"I tried skipping my Ritalin on a work day, unfortunately, my performance plummeted. So yeah, so I always take Ritalin. [inaudible] I won't be able to do my job without it.",
ADHD,,diagnosis,,Sought diagnosis because of their noticing symptoms at work," So I am to my knowledge, undiagnosed ADHD. But I had went to see my primary care physician a few months ago with the sole purpose that I was having trouble focusing at work.",
socialImpacts,selfDisclosure,,,"If they disclose their substance use at work, and how",N/A - will be one of the sub codes below,Inital Code
socialImpacts,,yes,,If they have told someone,"I've been pretty open. There was a point in my life where I was very against using medications. As Tiktok says, I don't want to dull my sparkle... the sparkle is like me with a dirty apartment. So there was always that. And I got to a point where I was like, I'm not keeping this a secret anymore. This is something I struggle with. And if someone wants to ask about finding a psychiatrist or a mental health professional, I want to be that person for other people. So I haven't kept it a secret. I'm pretty open about it if anyone asks.",
socialImpacts,,no,,If they have not told someone,"Well, I definitely won't mention the cannabis at work or drinking during work hours. So I guess so.",
socialImpacts,otherDisclosure,,,"If others at work diclose to them their substance use, and how","I had a colleague who was a close friend who had come to work once and he said he smoked this morning before he came in and that he was – hm, it wasn’t a memorable event.",Inital Code
socialImpacts,rumorDisclosure,,,Rumors they have heard about others using substances at work,"this is second-hand information on my part, but I've heard of people who while working from home are usually stoned while working because it helps them relax and focus. I don't directly know anyone who uses cannabis while working, but it's unsurprising to me that there are people in the company who do that, and if it works for them, then cool.",
socialImpacts,stigma,,,General thoughts on stigma regarding substance use at work,"I just wish everyone was more open about it and it was less stigmatized. I feel like there are probably so many people in my company that are just like me where they do it in secret. Organizationally, it's not a problem and no one's going to get fired over it. Yeah, I just wish everyone was just more open about it.",Inital Code
socialImpacts,,yes,,If they personally feel stigma from substance use at work,"One instance I remember someone like rolling their eyes when another person mentioned that they had to take a mental health day, or that they were going to start antidepressants or things like that. It was like 'Ugh, get over yourself,' like that type of attitude.",Pass 2
